date,leads,applications,approvals,disbursals,loan_disbursal_volume,activation_rate,churn_rate,cac,ltv,ltv_cac_ratio,dau,npa_rate,support_ticket_volume,funnel_conversion,week_start,month_label
2024-02-03,51,31,19,14,2555434,0.7171,0.0464,3884,17093,4.4,469,0.0216,90,0.2745,2024-01-29,Feb 2024
2024-02-04,71,41,29,24,5493863,0.6303,0.0509,4429,20643,4.66,542,0.0242,70,0.338,2024-01-29,Feb 2024
2024-02-05,130,85,61,49,11914022,0.5988,0.0598,4048,15724,3.88,1285,0.0225,85,0.3769,2024-02-05,Feb 2024
2024-02-06,169,107,69,60,10391296,0.6086,0.0604,4556,21191,4.65,1042,0.0235,65,0.355,2024-02-05,Feb 2024
2024-02-07,114,64,40,32,7363202,0.6559,0.0577,4401,21727,4.94,1135,0.0235,58,0.2807,2024-02-05,Feb 2024
2024-02-08,128,85,58,51,13000894,0.6249,0.059,4424,18788,4.25,1247,0.0233,77,0.3984,2024-02-05,Feb 2024
2024-02-09,169,110,71,55,10465127,0.5784,0.0578,3706,20236,5.46,1312,0.0214,81,0.3254,2024-02-05,Feb 2024
2024-02-10,71,47,28,24,6453578,0.6492,0.0508,4608,23913,5.19,481,0.0242,77,0.338,2024-02-05,Feb 2024
2024-02-11,64,41,25,21,4858243,0.6016,0.0573,4275,19009,4.45,546,0.0231,66,0.3281,2024-02-05,Feb 2024
2024-02-12,160,100,69,59,11927042,0.6779,0.0595,4053,17919,4.42,1049,0.0172,76,0.3688,2024-02-12,Feb 2024
2024-02-13,155,92,63,54,11800761,0.6541,0.0592,4232,23017,5.44,1294,0.0297,89,0.3484,2024-02-12,Feb 2024
2024-02-14,125,83,50,42,9880282,0.6083,0.0618,3560,23995,6.74,1064,0.0273,83,0.336,2024-02-12,Feb 2024
2024-02-15,144,95,59,49,10878770,0.6602,0.0589,4325,20093,4.65,1379,0.0237,87,0.3403,2024-02-12,Feb 2024
2024-02-16,151,82,51,39,9153026,0.6239,0.0568,3821,22125,5.79,1267,0.0247,73,0.2583,2024-02-12,Feb 2024
2024-02-17,75,40,27,20,3939775,0.6475,0.0611,3707,22801,6.15,507,0.0217,105,0.2667,2024-02-12,Feb 2024
2024-02-18,66,39,23,20,4490337,0.6365,0.0545,3647,18649,5.11,446,0.0289,67,0.303,2024-02-12,Feb 2024
2024-02-19,120,78,47,39,7241208,0.5966,0.0494,4569,19179,4.2,1457,0.0294,93,0.325,2024-02-19,Feb 2024
2024-02-20,174,118,83,71,15412903,0.6027,0.0537,3959,22628,5.72,1424,0.0251,106,0.408,2024-02-19,Feb 2024
2024-02-21,154,86,53,43,8487576,0.6529,0.0502,4716,23552,4.99,1361,0.0272,93,0.2792,2024-02-19,Feb 2024
2024-02-22,146,90,61,47,9466471,0.612,0.0506,3991,21324,5.34,1268,0.0251,80,0.3219,2024-02-19,Feb 2024
2024-02-23,184,109,68,52,13269221,0.61,0.0538,3581,18455,5.15,1363,0.0214,75,0.2826,2024-02-19,Feb 2024
2024-02-24,75,50,30,25,6269554,0.5935,0.0499,3787,24205,6.39,455,0.0237,103,0.3333,2024-02-19,Feb 2024
2024-02-25,74,48,30,24,5680405,0.6349,0.0528,4610,19185,4.16,533,0.0251,63,0.3243,2024-02-19,Feb 2024
2024-02-26,142,93,64,50,9648647,0.6841,0.0433,4123,19593,4.75,1520,0.0236,69,0.3521,2024-02-26,Feb 2024
2024-02-27,156,94,66,54,11437384,0.5903,0.0559,3985,20964,5.26,1436,0.0242,77,0.3462,2024-02-26,Feb 2024
2024-02-28,176,105,74,56,14250552,0.623,0.0547,4232,23404,5.53,1200,0.0245,107,0.3182,2024-02-26,Feb 2024
2024-02-29,198,114,74,61,13650172,0.6647,0.0498,4352,22019,5.06,1340,0.0246,90,0.3081,2024-02-26,Feb 2024
2024-03-01,173,94,64,50,14529990,0.62,0.058,4567,23929,5.24,1291,0.0249,78,0.289,2024-02-26,Mar 2024
2024-03-02,69,45,28,24,5535180,0.636,0.0596,4682,24044,5.14,591,0.0222,89,0.3478,2024-02-26,Mar 2024
2024-03-03,58,37,23,18,4052321,0.5906,0.0444,4049,23223,5.74,585,0.023,84,0.3103,2024-02-26,Mar 2024
2024-03-04,152,103,73,59,12507340,0.6354,0.0494,3710,24271,6.54,1222,0.0216,82,0.3882,2024-03-04,Mar 2024
2024-03-05,219,148,89,67,14978109,0.6169,0.0494,4029,18114,4.5,1312,0.0273,116,0.3059,2024-03-04,Mar 2024
2024-03-06,242,149,91,70,15120797,0.6522,0.0484,4265,22598,5.3,1434,0.0196,71,0.2893,2024-03-04,Mar 2024
2024-03-07,187,121,75,60,14370677,0.6583,0.059,3836,23692,6.18,1433,0.0278,132,0.3209,2024-03-04,Mar 2024
2024-03-08,227,152,91,74,18260525,0.7004,0.0528,3838,20926,5.45,1309,0.0284,113,0.326,2024-03-04,Mar 2024
2024-03-09,77,50,31,25,5004959,0.6401,0.0524,4293,24019,5.59,584,0.0242,118,0.3247,2024-03-04,Mar 2024
2024-03-10,64,36,24,19,3562858,0.6325,0.042,4155,22856,5.5,576,0.0184,85,0.2969,2024-03-04,Mar 2024
2024-03-11,203,122,79,67,11825050,0.6286,0.0578,4183,26794,6.41,1453,0.024,92,0.33,2024-03-11,Mar 2024
2024-03-12,251,140,100,87,20343050,0.6122,0.0466,3906,26447,6.77,1374,0.0248,71,0.3466,2024-03-11,Mar 2024
2024-03-13,189,127,89,76,14646503,0.633,0.0544,4090,22388,5.47,1648,0.0224,85,0.4021,2024-03-11,Mar 2024
2024-03-14,253,158,101,77,13083224,0.6141,0.0557,3847,23036,5.99,1752,0.0237,105,0.3043,2024-03-11,Mar 2024
2024-03-15,119,68,43,35,8067549,0.628,0.0622,4481,23208,5.18,1416,0.0288,125,0.2941,2024-03-11,Mar 2024
2024-03-16,84,53,34,26,7714708,0.6625,0.0461,4532,22471,4.96,531,0.0267,76,0.3095,2024-03-11,Mar 2024
2024-03-17,73,45,30,23,5056315,0.5928,0.0359,3523,23783,6.75,594,0.0227,88,0.3151,2024-03-11,Mar 2024
2024-03-18,181,106,67,59,14353999,0.6573,0.0551,3843,21895,5.7,1437,0.021,91,0.326,2024-03-18,Mar 2024
2024-03-19,194,107,72,56,12441572,0.6626,0.0648,3645,21168,5.81,1470,0.0242,72,0.2887,2024-03-18,Mar 2024
2024-03-20,134,84,54,44,9565808,0.6196,0.0614,3940,24693,6.27,1606,0.0245,107,0.3284,2024-03-18,Mar 2024
2024-03-21,184,112,75,63,15476088,0.5595,0.0553,4138,24725,5.98,1233,0.0263,82,0.3424,2024-03-18,Mar 2024
2024-03-22,204,132,86,73,15510213,0.605,0.0511,3660,21876,5.98,1705,0.0237,91,0.3578,2024-03-18,Mar 2024
2024-03-23,95,58,37,30,6815208,0.6622,0.0588,3844,25294,6.58,572,0.0264,87,0.3158,2024-03-18,Mar 2024
2024-03-24,66,43,31,23,5259154,0.6226,0.0482,3815,22258,5.83,545,0.0299,82,0.3485,2024-03-18,Mar 2024
2024-03-25,166,102,71,56,11370850,0.5934,0.0569,4238,24046,5.67,1484,0.0272,95,0.3373,2024-03-25,Mar 2024
2024-03-26,176,108,66,54,13381877,0.6083,0.057,4190,25199,6.01,1493,0.025,91,0.3068,2024-03-25,Mar 2024
2024-03-27,227,150,106,81,17449766,0.6487,0.0604,3912,23509,6.01,1261,0.0247,88,0.3568,2024-03-25,Mar 2024
2024-03-28,204,121,80,64,12859282,0.6399,0.0706,4227,24504,5.8,1743,0.0243,82,0.3137,2024-03-25,Mar 2024
2024-03-29,175,97,69,52,12200746,0.6164,0.0564,3973,22580,5.68,1508,0.0281,102,0.2971,2024-03-25,Mar 2024
2024-03-30,80,43,30,23,4542830,0.6126,0.0509,4069,23238,5.71,597,0.0236,132,0.2875,2024-03-25,Mar 2024
2024-03-31,74,47,30,24,5297885,0.6118,0.0538,4749,23238,4.89,628,0.0253,98,0.3243,2024-03-25,Mar 2024
2024-04-01,244,152,91,70,15383157,0.596,0.0427,4632,23595,5.09,1441,0.0253,123,0.2869,2024-04-01,Apr 2024
2024-04-02,181,115,73,60,15037157,0.6721,0.0492,3708,24754,6.68,1675,0.024,76,0.3315,2024-04-01,Apr 2024
2024-04-03,193,109,73,62,14439542,0.6141,0.0509,4453,22030,4.95,1556,0.0218,103,0.3212,2024-04-01,Apr 2024
2024-04-04,191,106,72,62,13599097,0.6603,0.0502,4446,24164,5.43,1741,0.0261,81,0.3246,2024-04-01,Apr 2024
2024-04-05,158,85,53,41,9950037,0.6694,0.0542,3760,24596,6.54,1294,0.0251,75,0.2595,2024-04-01,Apr 2024
2024-04-06,82,48,29,22,5718689,0.6538,0.0484,4448,24673,5.55,603,0.0265,87,0.2683,2024-04-01,Apr 2024
2024-04-07,82,51,36,27,6351216,0.6109,0.0601,4699,24722,5.26,573,0.024,128,0.3293,2024-04-01,Apr 2024
2024-04-08,206,122,88,74,16300237,0.636,0.0533,3767,25100,6.66,1676,0.0284,123,0.3592,2024-04-08,Apr 2024
2024-04-09,198,119,79,67,12593043,0.6232,0.0533,3839,26202,6.83,1683,0.0231,105,0.3384,2024-04-08,Apr 2024
2024-04-10,160,106,65,49,9486587,0.5969,0.0514,4516,27012,5.98,1497,0.0296,75,0.3062,2024-04-08,Apr 2024
2024-04-11,191,112,71,62,13149446,0.6338,0.0543,4254,23983,5.64,1498,0.021,96,0.3246,2024-04-08,Apr 2024
2024-04-12,194,118,71,54,11042095,0.5887,0.0583,4352,22895,5.26,1592,0.0264,108,0.2784,2024-04-08,Apr 2024
2024-04-13,68,44,31,25,5377972,0.6598,0.0481,4278,23237,5.43,559,0.0266,105,0.3676,2024-04-08,Apr 2024
2024-04-14,76,45,27,23,5094515,0.6102,0.0494,4295,24366,5.67,666,0.0234,69,0.3026,2024-04-08,Apr 2024
2024-04-15,223,139,93,81,18989468,0.6302,0.0515,3693,24656,6.68,1555,0.0265,85,0.3632,2024-04-15,Apr 2024
2024-04-16,291,192,122,104,22687255,0.6327,0.0453,4524,23839,5.27,1207,0.0286,100,0.3574,2024-04-15,Apr 2024
2024-04-17,214,144,96,82,19124528,0.6165,0.0484,4566,22807,4.99,1556,0.0199,111,0.3832,2024-04-15,Apr 2024
2024-04-18,217,121,82,65,14411067,0.6419,0.0505,4076,24506,6.01,1457,0.0267,65,0.2995,2024-04-15,Apr 2024
2024-04-19,205,137,96,83,14406174,0.6101,0.0586,4141,25801,6.23,1375,0.0192,96,0.4049,2024-04-15,Apr 2024
2024-04-20,56,34,21,16,3144769,0.6505,0.0549,3620,26647,7.36,543,0.0231,103,0.2857,2024-04-15,Apr 2024
2024-04-21,78,44,26,22,4757033,0.5841,0.0545,4335,24362,5.62,622,0.0296,121,0.2821,2024-04-15,Apr 2024
2024-04-22,210,126,77,64,12177524,0.6283,0.0584,4355,24670,5.66,1853,0.024,116,0.3048,2024-04-22,Apr 2024
2024-04-23,325,220,157,136,32153412,0.6827,0.0525,4133,23662,5.73,1675,0.0226,113,0.4185,2024-04-22,Apr 2024
2024-04-24,201,122,87,71,18769669,0.5946,0.0557,4547,25472,5.6,1529,0.025,86,0.3532,2024-04-22,Apr 2024
2024-04-25,220,128,86,72,18334596,0.6043,0.0527,4037,23857,5.91,1702,0.0307,70,0.3273,2024-04-22,Apr 2024
2024-04-26,207,130,88,72,15439439,0.6401,0.0549,4351,26720,6.14,1554,0.021,92,0.3478,2024-04-22,Apr 2024
2024-04-27,64,36,24,20,5261897,0.6301,0.0498,3796,22021,5.8,577,0.0229,123,0.3125,2024-04-22,Apr 2024
2024-04-28,97,53,33,25,5599000,0.6352,0.0387,4144,24893,6.01,551,0.0293,135,0.2577,2024-04-22,Apr 2024
2024-04-29,240,133,95,72,15212052,0.6394,0.0525,4091,26234,6.41,1369,0.0302,118,0.3,2024-04-29,Apr 2024
2024-04-30,241,134,87,68,13898371,0.6438,0.0619,4230,26019,6.15,1569,0.0253,110,0.2822,2024-04-29,Apr 2024
2024-05-01,188,105,68,53,11244372,0.6581,0.0582,4022,32510,8.08,1753,0.0225,114,0.2819,2024-04-29,May 2024
2024-05-02,285,159,106,92,19318817,0.6372,0.0585,4105,27844,6.78,1710,0.0309,97,0.3228,2024-04-29,May 2024
2024-05-03,172,108,65,51,11451810,0.6177,0.0601,4439,25157,5.67,1658,0.0296,105,0.2965,2024-04-29,May 2024
2024-05-04,93,52,32,28,6279847,0.6451,0.0532,3997,26995,6.75,598,0.0274,150,0.3011,2024-04-29,May 2024
2024-05-05,125,73,50,40,8803217,0.682,0.0539,3587,23654,6.59,699,0.0236,88,0.32,2024-04-29,May 2024
2024-05-06,186,123,75,58,13446890,0.6211,0.049,4761,27066,5.68,1518,0.0256,148,0.3118,2024-05-06,May 2024
2024-05-07,201,121,82,70,17765263,0.5958,0.0508,4632,25581,5.52,1873,0.0253,100,0.3483,2024-05-06,May 2024
2024-05-08,227,143,90,76,18737972,0.6583,0.0564,3696,29099,7.87,1569,0.0265,140,0.3348,2024-05-06,May 2024
2024-05-09,203,114,74,61,11229658,0.6215,0.0599,4389,26189,5.97,1610,0.0293,81,0.3005,2024-05-06,May 2024
2024-05-10,169,95,60,49,7934513,0.56,0.0518,3971,27075,6.82,1500,0.0279,121,0.2899,2024-05-06,May 2024
2024-05-11,86,46,29,24,5906447,0.6507,0.05,4239,26058,6.15,628,0.0231,92,0.2791,2024-05-06,May 2024
2024-05-12,70,39,27,21,3921088,0.6092,0.0527,4250,30828,7.25,729,0.0292,81,0.3,2024-05-06,May 2024
2024-05-13,243,140,89,79,16917494,0.6226,0.0563,4064,26728,6.58,1833,0.0266,112,0.3251,2024-05-13,May 2024
2024-05-14,189,106,71,62,11853143,0.6353,0.044,3872,31056,8.02,1922,0.0275,131,0.328,2024-05-13,May 2024
2024-05-15,296,163,107,90,15949768,0.6311,0.0389,3904,29040,7.44,1837,0.0295,91,0.3041,2024-05-13,May 2024
2024-05-16,194,108,74,58,13616615,0.6467,0.0494,3824,28396,7.43,1563,0.023,78,0.299,2024-05-13,May 2024
2024-05-17,211,127,91,77,18555686,0.6124,0.0453,3854,28190,7.31,1690,0.0257,105,0.3649,2024-05-13,May 2024
2024-05-18,98,55,38,29,5953545,0.6409,0.0496,4121,28261,6.86,614,0.0245,105,0.2959,2024-05-13,May 2024
2024-05-19,68,40,25,19,3062973,0.6178,0.0518,3893,23638,6.07,759,0.0219,118,0.2794,2024-05-13,May 2024
2024-05-20,234,142,85,67,13804788,0.6478,0.0499,4382,26956,6.15,1553,0.0267,130,0.2863,2024-05-20,May 2024
2024-05-21,285,181,114,93,21444929,0.6441,0.0614,4664,29225,6.27,1916,0.0322,107,0.3263,2024-05-20,May 2024
2024-05-22,168,91,61,53,9763928,0.5976,0.0546,3940,27457,6.97,1917,0.0213,153,0.3155,2024-05-20,May 2024
2024-05-23,233,151,91,77,17316864,0.6583,0.0545,4226,24765,5.86,2107,0.0258,112,0.3305,2024-05-20,May 2024
2024-05-24,236,148,98,83,18226483,0.6097,0.0564,4317,27491,6.37,1685,0.0275,100,0.3517,2024-05-20,May 2024
2024-05-25,98,54,36,29,6839284,0.65,0.0458,4307,31025,7.2,717,0.0262,77,0.2959,2024-05-20,May 2024
2024-05-26,68,45,28,22,4909952,0.6369,0.0589,4168,30131,7.23,839,0.0257,101,0.3235,2024-05-20,May 2024
2024-05-27,178,119,83,67,13115524,0.681,0.0522,4401,27534,6.26,1654,0.0227,99,0.3764,2024-05-27,May 2024
2024-05-28,248,136,83,73,18539809,0.6192,0.0567,4309,29581,6.86,1510,0.0266,130,0.2944,2024-05-27,May 2024
2024-05-29,239,138,84,64,13814680,0.6155,0.0462,3707,26966,7.27,1460,0.0241,117,0.2678,2024-05-27,May 2024
2024-05-30,237,154,106,92,20173791,0.6254,0.0433,4444,24312,5.47,1894,0.0205,83,0.3882,2024-05-27,May 2024
2024-05-31,241,155,102,85,16718758,0.6169,0.0576,4450,25891,5.82,1462,0.029,111,0.3527,2024-05-27,May 2024
2024-06-01,80,45,31,25,5215078,0.6501,0.0543,3872,32374,8.36,681,0.0284,130,0.3125,2024-05-27,Jun 2024
2024-06-02,94,53,34,29,5737317,0.5776,0.0466,4152,28721,6.92,739,0.0262,153,0.3085,2024-05-27,Jun 2024
2024-06-03,252,149,94,77,16592058,0.5945,0.0468,4377,28804,6.58,1898,0.0266,135,0.3056,2024-06-03,Jun 2024
2024-06-04,210,127,89,77,20802698,0.5942,0.0588,4064,28713,7.07,1946,0.0288,132,0.3667,2024-06-03,Jun 2024
2024-06-05,335,209,147,128,23885567,0.6547,0.0449,4513,33143,7.34,1908,0.0266,114,0.3821,2024-06-03,Jun 2024
2024-06-06,261,154,106,86,15589415,0.6776,0.0619,4964,32608,6.57,2122,0.0284,122,0.3295,2024-06-03,Jun 2024
2024-06-07,193,116,73,58,15223734,0.6232,0.0466,3861,33815,8.76,1699,0.0254,145,0.3005,2024-06-03,Jun 2024
2024-06-08,102,65,43,35,7508993,0.6213,0.0558,3653,29081,7.96,664,0.0294,87,0.3431,2024-06-03,Jun 2024
2024-06-09,76,41,26,22,4466593,0.6285,0.05,4242,30012,7.07,658,0.0269,105,0.2895,2024-06-03,Jun 2024
2024-06-10,277,159,97,76,18942236,0.6613,0.0556,4388,26409,6.02,2035,0.0266,97,0.2744,2024-06-10,Jun 2024
2024-06-11,296,189,135,113,23117414,0.5987,0.0487,4054,32418,8.0,2051,0.023,121,0.3818,2024-06-10,Jun 2024
2024-06-12,208,138,85,71,19446620,0.6337,0.051,4643,27150,5.85,1963,0.0269,144,0.3413,2024-06-10,Jun 2024
2024-06-13,287,175,126,107,25535054,0.6558,0.0522,3665,29941,8.17,2113,0.0241,99,0.3728,2024-06-10,Jun 2024
2024-06-14,260,159,104,80,16599117,0.6416,0.046,4376,27334,6.25,1670,0.0246,69,0.3077,2024-06-10,Jun 2024
2024-06-15,106,58,36,30,8550131,0.6323,0.0564,3921,28373,7.24,844,0.0242,103,0.283,2024-06-10,Jun 2024
2024-06-16,129,77,51,44,9001363,0.6567,0.0489,4734,27898,5.89,832,0.0236,135,0.3411,2024-06-10,Jun 2024
2024-06-17,231,141,100,78,18758229,0.5456,0.0506,4830,28378,5.88,2027,0.0316,127,0.3377,2024-06-17,Jun 2024
2024-06-18,211,121,84,66,15050965,0.6471,0.046,3864,28537,7.39,2252,0.0296,124,0.3128,2024-06-17,Jun 2024
2024-06-19,206,119,83,73,18775271,0.6072,0.0366,3939,28541,7.25,1598,0.0311,108,0.3544,2024-06-17,Jun 2024
2024-06-20,209,123,84,65,17247045,0.5719,0.0509,4432,31325,7.07,1790,0.0232,86,0.311,2024-06-17,Jun 2024
2024-06-21,239,129,89,77,17005183,0.6422,0.0665,3995,27471,6.88,1754,0.0265,125,0.3222,2024-06-17,Jun 2024
2024-06-22,98,57,40,32,6431437,0.6681,0.0567,4114,30143,7.33,771,0.0231,95,0.3265,2024-06-17,Jun 2024
2024-06-23,97,55,34,26,6044600,0.6228,0.0519,4139,32160,7.77,647,0.0246,174,0.268,2024-06-17,Jun 2024
2024-06-24,282,165,109,95,19267568,0.6556,0.0504,3458,28719,8.31,2041,0.024,126,0.3369,2024-06-24,Jun 2024
2024-06-25,244,135,84,68,19048463,0.6754,0.0521,4124,28331,6.87,2172,0.0294,101,0.2787,2024-06-24,Jun 2024
2024-06-26,316,210,152,125,27954277,0.6665,0.0553,3887,29328,7.55,2032,0.0254,99,0.3956,2024-06-24,Jun 2024
2024-06-27,232,144,104,83,17476800,0.6763,0.0449,3956,32170,8.13,1951,0.029,111,0.3578,2024-06-24,Jun 2024
2024-06-28,398,252,152,127,28566108,0.6494,0.0587,4633,30220,6.52,1719,0.0279,108,0.3191,2024-06-24,Jun 2024
2024-06-29,103,66,45,35,6550655,0.6295,0.0563,3688,28791,7.81,663,0.0322,143,0.3398,2024-06-24,Jun 2024
2024-06-30,79,48,34,27,5286283,0.5792,0.0563,4412,30843,6.99,818,0.0227,116,0.3418,2024-06-24,Jun 2024
2024-07-01,188,103,64,56,14228878,0.6199,0.0553,4029,25665,6.37,1917,0.0386,93,0.2979,2024-07-01,Jul 2024
2024-07-02,248,152,102,80,16265911,0.602,0.0528,4028,29253,7.26,1767,0.0383,158,0.3226,2024-07-01,Jul 2024
2024-07-03,219,136,97,82,15910228,0.6925,0.0567,4403,28727,6.52,1703,0.033,108,0.3744,2024-07-01,Jul 2024
2024-07-04,259,166,100,80,18770701,0.6221,0.0562,4245,27315,6.43,1451,0.038,126,0.3089,2024-07-01,Jul 2024
2024-07-05,249,149,102,87,22066594,0.6311,0.0505,4325,26273,6.07,1598,0.0363,95,0.3494,2024-07-01,Jul 2024
2024-07-06,85,47,30,23,5515933,0.644,0.0492,4464,26197,5.87,818,0.0349,115,0.2706,2024-07-01,Jul 2024
2024-07-07,74,42,30,26,6446223,0.6288,0.0533,4008,29060,7.25,595,0.0334,114,0.3514,2024-07-01,Jul 2024
2024-07-08,174,102,74,60,12054058,0.6784,0.062,3910,30469,7.79,1816,0.0337,73,0.3448,2024-07-08,Jul 2024
2024-07-09,211,133,96,75,13911879,0.6089,0.0452,3744,26757,7.15,1972,0.0407,163,0.3555,2024-07-08,Jul 2024
2024-07-10,267,165,109,83,21864687,0.6335,0.0439,3834,28968,7.56,1574,0.0355,139,0.3109,2024-07-08,Jul 2024
2024-07-11,238,140,99,77,16296593,0.6054,0.0537,5155,23897,4.64,1819,0.0375,100,0.3235,2024-07-08,Jul 2024
2024-07-12,183,124,88,72,15370320,0.5881,0.053,4558,26922,5.91,1963,0.0336,86,0.3934,2024-07-08,Jul 2024
2024-07-13,90,56,35,28,7224370,0.6094,0.0537,3649,28050,7.69,680,0.0336,115,0.3111,2024-07-08,Jul 2024
2024-07-14,93,53,37,32,7525940,0.6267,0.0541,3659,26313,7.19,906,0.0383,110,0.3441,2024-07-08,Jul 2024
2024-07-15,196,108,65,53,12315648,0.615,0.0513,4290,26279,6.13,1516,0.0322,114,0.2704,2024-07-15,Jul 2024
2024-07-16,236,132,89,70,19968734,0.6071,0.0616,4312,26837,6.22,1993,0.0346,111,0.2966,2024-07-15,Jul 2024
2024-07-17,233,133,83,69,14051885,0.5857,0.0431,4312,28777,6.67,1763,0.0357,119,0.2961,2024-07-15,Jul 2024
2024-07-18,187,105,64,54,13279176,0.6255,0.0477,4031,27838,6.91,1939,0.0359,144,0.2888,2024-07-15,Jul 2024
2024-07-19,246,139,84,65,14398169,0.5829,0.052,4076,23756,5.83,1877,0.0352,120,0.2642,2024-07-15,Jul 2024
2024-07-20,97,56,38,29,6588984,0.6508,0.0428,4234,24012,5.67,634,0.0367,87,0.299,2024-07-15,Jul 2024
2024-07-21,106,59,38,29,7664385,0.6306,0.0516,4149,27059,6.52,699,0.0374,142,0.2736,2024-07-15,Jul 2024
2024-07-22,279,185,128,109,25486794,0.5844,0.0626,3342,29209,8.74,1495,0.0375,150,0.3907,2024-07-22,Jul 2024
2024-07-23,180,99,60,50,11734002,0.6189,0.0528,4037,22818,5.65,1913,0.0333,201,0.2778,2024-07-22,Jul 2024
2024-07-24,195,119,76,62,15513452,0.6056,0.0541,3820,27334,7.16,1857,0.035,85,0.3179,2024-07-22,Jul 2024
